"","X","container","Condition","Species","Method","Medium","pH_actual_average","pH_NIST","pH_offset","CellDensity","Incubator.CO2.ppm.nominal"
"104",104,"Vials (50 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,7.858,0.051,34400,940
"105",105,"Vials (50 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,7.955,-0.067,74100,430
"106",106,"Vials (50 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,7.59,0.03,34000,2002
"107",107,"Vials (50 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,7.916,0.109,34400,940
"108",108,"Vials (50 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,8.148,0.126,74100,430
"109",109,"Vials (50 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,7.7,0.14,111600,2002
"110",110,"Vials (50 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,7.93,0.123,153800,940
"111",111,"Vials (50 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,8.19,0.168,271900,430
"112",112,"Vials (50 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,7.779,0.219,111600,2002
"113",113,"Vials (50 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,7.86,0.053,153800,940
"114",114,"Vials (50 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,8.429,0.407,271900,430
"115",115,"Vials (50 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,8.06,0.5,672000,2002
"116",116,"Vials (50 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,8.47,0.663,838400,940
"117",117,"Vials (50 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,8.448,0.426,1139000,430
"118",118,"Vials (50 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,8.29,0.73,672000,2002
"119",119,"Vials (50 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,8.733,0.926,838400,940
"120",120,"Vials (50 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,8.949,0.927,1139000,430
"121",121,"Vials (50 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,8.673,1.113,2030000,2002
"122",122,"Vials (50 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,8.775,0.968,1739800,940
"123",123,"Vials (50 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,9.07,1.048,2322200,430
"187",187,"Vials (50 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,7.605,0.045,63450,2002
"188",188,"Vials (50 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,7.853,0.046,60150,940
"189",189,"Vials (50 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,8.027,0.005,88500,430
"190",190,"Vials (50 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,7.547,-0.013,63450,2002
"191",191,"Vials (50 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,7.839,0.032,60150,940
"192",192,"Vials (50 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,8.12,0.098,88500,430
"193",193,"Vials (50 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,7.587,0.027,178100,2002
"194",194,"Vials (50 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,7.963,0.156,325200,940
"195",195,"Vials (50 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,8.117,0.095,221600,430
"196",196,"Vials (50 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,7.727,0.167,178100,2002
"197",197,"Vials (50 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,8.089,0.282,325200,940
"198",198,"Vials (50 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,8.457,0.435,221600,430
"199",199,"Vials (50 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,7.785,0.225,732400,2002
"200",200,"Vials (50 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,8.723,0.916,1905200,940
"201",201,"Vials (50 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,8.46,0.438,909800,430
"202",202,"Vials (50 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,8.23,0.67,732400,2002
"203",203,"Vials (50 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,8.915,1.108,1905200,940
"204",204,"Vials (50 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,8.72,0.698,909800,430
"205",205,"Vials (50 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,8.637,1.077,3814400,2002
"206",206,"Vials (50 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,9.104,1.297,5185000,940
"207",207,"Vials (50 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,9.146,1.124,2900800,430
"217",217,"Vials (100 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,7.63,0.07,149650,2002
"218",218,"Vials (100 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,7.972,0.165,133450,940
"219",219,"Vials (100 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,8.215,0.193,140250,430
"220",220,"Vials (100 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,8.582,0.56,705300,430
"221",221,"Vials (100 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,8.619,0.812,999600,940
"222",222,"Vials (100 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,7.861,0.301,1253700,2002
"223",223,"Vials (100 rpm)","Ambient430","Ehux","SmallProbe","L1",8.022,9.143,1.121,1889400,430
"224",224,"Vials (100 rpm)","940ppm","Ehux","SmallProbe","L1",7.807,9.29,1.483,2940200,940
"225",225,"Vials (100 rpm)","2002ppm","Ehux","SmallProbe","L1",7.56,8.911,1.351,3622200,2002
"246",246,"Vials (100 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,7.694,0.134,282350,2002
"247",247,"Vials (100 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,7.941,0.134,167000,940
"248",248,"Vials (100 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,8.168,0.146,150500,430
"249",249,"Vials (100 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,8.527,0.505,887000,430
"250",250,"Vials (100 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,8.59,0.783,1404900,940
"251",251,"Vials (100 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,7.925,0.365,1975400,2002
"252",252,"Vials (100 rpm)","Ambient430","Tpsu","SmallProbe","L1",8.022,9.156,1.134,2735600,430
"253",253,"Vials (100 rpm)","940ppm","Tpsu","SmallProbe","L1",7.807,9.233,1.426,4446600,940
"254",254,"Vials (100 rpm)","2002ppm","Tpsu","SmallProbe","L1",7.56,8.774,1.214,5746800,2002
