Meaurement_DateTime,Culture_ID#,pH_NIST,pH_volt,pH_temp,pH_std_volt,Incubator.CO2.ppm.nominal,Growth_Time_Nominal_hours,sp
1/2/2025 11:45,E_huxleyi_O495,7.84,-32.9,21.7,-61.8,1135,93.75,E_huxleyi
1/4/2025 10:00,E_huxleyi_O493,7.874,-34.9,22.2,-61.9,1135,140,E_huxleyi
1/4/2025 10:00,E_huxleyi_O494,7.895,-34.8,22.3,-61.9,1135,140,E_huxleyi
1/4/2025 10:00,E_huxleyi_O495,7.911,-36.1,22.3,-61.9,1135,140,E_huxleyi
1/4/2025 10:30,E_huxleyi_O499,7.796,-30,21.6,-61.9,1135,0,E_huxleyi
1/7/2025 11:30,E_huxleyi_O499,7.91,-34.5,22.3,-59.1,1135,73,E_huxleyi
1/7/2025 11:30,E_huxleyi_O500,7.887,-32.9,22.4,-59.1,1135,73,E_huxleyi
1/7/2025 11:30,E_huxleyi_O501,7.862,-30.9,22.5,-59.1,1135,73,E_huxleyi
1/7/2025 11:30,T_pseudo_O336,8.177,-49.6,22.6,-59.1,420,21,T_pseudo
1/7/2025 11:30,T_pseudo_O337,8.196,-51,22.7,-59.1,420,21,T_pseudo
1/7/2025 11:30,T_pseudo_O338,8.176,-49.3,22.8,-59.1,420,21,T_pseudo
1/8/2025 14:41,E_huxleyi_O499,7.883,-34.2,22.6,-60.1,1135,100.1833333,E_huxleyi
1/8/2025 14:41,E_huxleyi_O500,7.842,-32.8,22.6,-60.1,1135,100.1833333,E_huxleyi
1/8/2025 14:41,E_huxleyi_O501,7.876,-34,22.6,-60.1,1135,100.1833333,E_huxleyi
1/8/2025 14:41,T_pseudo_O336,8.277,-57.3,22.4,-60.1,420,48.18333333,T_pseudo
1/8/2025 14:41,T_pseudo_O337,8.173,-51,22.5,-60.1,420,48.18333333,T_pseudo
1/8/2025 14:41,T_pseudo_O338,8.154,-48.5,22.5,-60.1,420,48.18333333,T_pseudo
1/9/2025 10:15,E_huxleyi_O499,7.935,-35.9,22.5,-60.9,1135,119.75,E_huxleyi
1/9/2025 10:15,E_huxleyi_O500,7.899,-34.3,22.6,-60.9,1135,119.75,E_huxleyi
1/9/2025 10:15,E_huxleyi_O501,7.868,-32,22.6,-60.9,1135,119.75,E_huxleyi
1/9/2025 14:08,T_pseudo_O336,8.271,-55.6,21.4,-60.9,420,71.63333333,T_pseudo
1/9/2025 14:08,T_pseudo_O337,8.285,-56.2,21.6,-60.9,420,71.63333333,T_pseudo
1/9/2025 14:08,T_pseudo_O338,8.293,-56.8,21.7,-60.9,420,71.63333333,T_pseudo
1/13/2025 14:40,T_pseudo_O345,8.109,-42.8,22.2,-58.5,420,26.25,T_pseudo
1/13/2025 14:40,T_pseudo_O346,8.15,-45.2,22.3,-58.5,420,26.25,T_pseudo
1/13/2025 14:40,T_pseudo_O347,8.145,-45.6,22.4,-58.5,420,26.25,T_pseudo
1/13/2025 14:40,T_pseudo_O348,7.9,-31.7,22.5,-58.5,1135,52.41666667,T_pseudo
1/13/2025 14:40,T_pseudo_O349,7.875,-30.1,22.6,-58.5,1135,52.41666667,T_pseudo
1/13/2025 14:40,T_pseudo_O350,7.884,-32.8,22.6,-58.5,1135,52.41666667,T_pseudo
45671.44097,T_pseudo_O345,8.118,-47.3,21.8,-60.5,420,46.16666667,T_pseudo
45671.44097,T_pseudo_O346,8.063,-43.4,21.8,-60.5,420,46.16666667,T_pseudo
45671.44097,T_pseudo_O347,8.112,-46.4,21.8,-60.5,420,46.16666667,T_pseudo
45671.44097,T_pseudo_O348,7.855,-30.9,21.8,-60.5,1135,72.33333333,T_pseudo
45671.44097,T_pseudo_O349,7.843,-31.8,21.8,-60.5,1135,72.33333333,T_pseudo
45671.44097,T_pseudo_O350,7.819,-27.1,21.7,-60.5,1135,72.33333333,T_pseudo
1/15/2025 9:45,T_pseudo_O345,8.167,-49.4,21.7,-60.4,420,69.33333333,T_pseudo
1/15/2025 9:45,T_pseudo_O346,8.174,-49,21.8,-60.4,420,69.33333333,T_pseudo
1/15/2025 9:45,T_pseudo_O347,8.194,-50.8,21.8,-60.4,420,69.33333333,T_pseudo
1/15/2025 9:45,T_pseudo_O348,7.972,-38.9,21.8,-60.4,1135,95.5,T_pseudo
1/15/2025 9:45,T_pseudo_O349,7.978,-38.4,21.9,-60.4,1135,95.5,T_pseudo
1/15/2025 9:45,T_pseudo_O350,8.04,-41.7,22,-60.4,1135,95.5,T_pseudo
NA,E_huxleyi_O548,8.245,-55.9,22,-66,420,0,E_huxleyi
4/22/2025 16:41,E_huxleyi_O548,8.279,-58.9,21.8,-66.5,420,47.18333333,E_huxleyi
4/23/2025 13:57,E_huxleyi_O548,8.256,-57.3,22.2,-67.3,420,68.45,E_huxleyi
4/24/2025 14:30,E_huxleyi_O548,8.257,-56.8,21.7,-66.7,420,93,E_huxleyi
4/25/2025 9:08,E_huxleyi_O548,8.249,-58.1,21.9,-69.2,420,111.6333333,E_huxleyi
4/26/2025 9:59,E_huxleyi_O548,8.255,-58,21.5,-69.5,420,136.4833333,E_huxleyi
NA,T_pseudo_O399,8.32,-61.1,22,-67.3,420,0,T_pseudo
5/5/2025 15:55,T_pseudo_O399,8.266,-57.9,22,-67.6,420,27.41666667,T_pseudo
5/6/2025 15:15,T_pseudo_O399,8.28,-59.2,21.6,-68.4,420,50.75,T_pseudo
5/7/2025 9:48,T_pseudo_O399,8.364,-64.7,22,-69.8,420,69.3,T_pseudo
5/12/2025 15:40,E_huxleyi_O560,7.95,-33.9,22.4,-60.1,1135,76.08333333,E_huxleyi
5/13/2025 17:22,E_huxleyi_O560,7.915,-38.6,21.9,-66.7,1135,101.7833333,E_huxleyi
5/14/2025 9:38,E_huxleyi_O560,7.919,-38.8,22.1,-68.5,1135,118.05,E_huxleyi
5/15/2025 16:41,E_huxleyi_O564,7.945,-39.3,21.8,-67.2,1135,30.6,E_huxleyi
5/15/2025 16:41,E_huxleyi_O565,7.933,-39,21.9,-67.2,1135,30.6,E_huxleyi
5/15/2025 16:41,E_huxleyi_O566,7.936,-38.8,21.9,-67.2,1135,30.6,E_huxleyi
5/16/2025 12:30,E_huxleyi_O564,7.983,-41.3,22.6,-66.6,1135,50.41666667,E_huxleyi
5/16/2025 12:30,E_huxleyi_O565,7.953,-39.8,22.6,-66.6,1135,50.41666667,E_huxleyi
5/16/2025 12:30,E_huxleyi_O566,7.962,-40.3,22.6,-66.6,1135,50.41666667,E_huxleyi
5/18/2025 18:43,E_huxleyi_O564,7.98,-40,21.8,-65.1,1135,104.6333333,E_huxleyi
5/18/2025 18:43,E_huxleyi_O565,7.991,-40.4,21.8,-65.1,1135,104.6333333,E_huxleyi
5/18/2025 18:43,E_huxleyi_O566,7.984,-40.6,21.9,-65.1,1135,104.6333333,E_huxleyi
5/19/2025 9:55,E_huxleyi_O564,7.932,-40,22.7,-66.7,1135,119.8333333,E_huxleyi
5/19/2025 9:55,E_huxleyi_O565,7.952,-41.2,22.7,-66.7,1135,119.8333333,E_huxleyi
5/19/2025 9:55,E_huxleyi_O566,7.92,-39.3,22.6,-66.7,1135,119.8333333,E_huxleyi
5/26/2025 9:29,E_huxleyi_O571,8.251,-56.4,22.1,-68.1,420,64.98333333,E_huxleyi
NA,T_pseudo_O417,7.933,-37.3,22,-68.7,1135,0,T_pseudo
5/26/2025 9:29,T_pseudo_O417,7.931,-38.8,22.1,-68.1,1135,40.98333333,T_pseudo
5/26/2025 9:29,T_pseudo_O418,7.942,-39.1,22.1,-68.1,1135,40.98333333,T_pseudo
5/26/2025 9:29,T_pseudo_O419,7.973,-40.9,22.1,-68.1,1135,40.98333333,T_pseudo
5/27/2025 9:52,T_pseudo_O417,7.931,-39.5,22.2,-68.7,1135,65.36666667,T_pseudo
5/27/2025 9:52,T_pseudo_O418,7.936,-39.6,22.2,-68.7,1135,65.36666667,T_pseudo
5/27/2025 9:52,T_pseudo_O419,7.958,-40.5,22.2,-68.7,1135,65.36666667,T_pseudo
5/27/2025 14:42,E_huxleyi_O571,8.23,-55.3,22.2,-68.7,420,94.2,E_huxleyi
5/28/2025 9:20,E_huxleyi_O571,8.235,-56.1,21.4,-71.3,420,112.8333333,E_huxleyi
NA,T_pseudo_O422,7.842,-33.7,21.8,-68.7,1135,0,T_pseudo
5/28/2025 9:20,T_pseudo_O422,7.931,-39.4,21.4,-71.3,1135,22.33333333,T_pseudo
5/29/2025 16:40,T_pseudo_O422,7.962,-39.5,20.6,-68.9,1135,53.66666667,T_pseudo
5/30/2025 10:10,T_pseudo_O422,7.928,-38.6,21.6,-69,1135,71.16666667,T_pseudo
NA,E_huxleyi_O575,7.881,-34.4,20.6,-68.9,1135,0,E_huxleyi
5/30/2025 13:13,E_huxleyi_O575,7.861,-33.8,20.1,-69,1135,20.13333333,E_huxleyi
6/2/2025 14:53,E_huxleyi_O575,7.919,-38.8,20.9,-69.9,1135,93.8,E_huxleyi
6/2/2025 14:53,T_pseudo_O425,8.195,-52.9,20.9,-69.9,420,18.41666667,T_pseudo
6/3/2025 14:13,E_huxleyi_O575,7.936,-38.9,21.4,-69.5,1135,117.1333333,E_huxleyi
6/3/2025 14:13,T_pseudo_O425,8.186,-53.4,21.4,-69.5,420,41.75,T_pseudo
6/4/2025 9:30,E_huxleyi_O575,7.864,-36,21.7,-69.5,1135,136.4166667,E_huxleyi
6/4/2025 9:30,T_pseudo_O425,8.177,-52.2,21.7,-69.5,420,61.03333333,T_pseudo
6/5/2025 10:00,T_pseudo_O425,8.219,-55.2,20.3,-70.8,420,85.53333333,T_pseudo
