"","X","FINAL_TREAT","TIME_TREAT","Study_DOI","CO2_mean","HCO3_mean","CO3_mean","Temp_mean","DIC_mean","pHT_mean","Temp_sd","CO2_sd","CO3_sd","HCO3_sd","DIC_sd","pHT_sd","ocean_relevant","scenario","biome","loc","type","period","miss_co2_dir","miss_hco3_dir","miss_co3_dir","miss_pH_dir","miss_temp_dir","miss_cooccurrence","miss_high","miss_low","dir","category"
"11",11,"+Fe Ambient-3, Temp2","No Comment","10.1594/PANGAEA.957342",11.42,1725.86,206.12,23.1,1943.4,8.07347829177373,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STPS","NP","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"12",12,"+Fe Ambient-3, Temp3","No Comment","10.1594/PANGAEA.957342",11.42,1725.86,206.12,28,1943.4,7.99556892156058,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"13",13,"+Fe+P Acidified-1, Temp2","No Comment","10.1594/PANGAEA.957342",19.09,1910.27,151.04,24.3,2080.4,7.87512307194175,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","SP_STPS","SP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"14",14,"+Fe+P Acidified-1, Temp3","No Comment","10.1594/PANGAEA.957342",19.09,1910.27,151.04,28,2080.4,7.81645157268631,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"15",15,"+Fe+P Acidified-2, Temp2","No Comment","10.1594/PANGAEA.957342",20.57,1921.14,141.79,24.3,2083.5,7.84521243829235,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","SP_STPS","SP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"16",16,"+Fe+P Acidified-2, Temp3","No Comment","10.1594/PANGAEA.957342",20.57,1921.14,141.79,28,2083.5,7.78654093903692,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"17",17,"+Fe+P Acidified-3, Temp2","No Comment","10.1594/PANGAEA.957342",20.21,1915.17,143.42,24.3,2078.8,7.85152823832538,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","SP_STPS","SP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"18",18,"+Fe+P Acidified-3, Temp3","No Comment","10.1594/PANGAEA.957342",20.21,1915.17,143.42,28,2078.8,7.79285673906994,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"19",19,"+Fe+P Ambient-1, Temp2","No Comment","10.1594/PANGAEA.957342",11.59,1722.99,202.43,23.2,1937.01,8.06474871575782,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STPS","NP","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"20",20,"+Fe+P Ambient-1, Temp3","No Comment","10.1594/PANGAEA.957342",11.59,1722.99,202.43,28,1937.01,7.98844646929508,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"21",21,"+Fe+P Ambient-2, Temp2","No Comment","10.1594/PANGAEA.957342",11.75,1723.97,199.88,23.2,1935.6,8.05899623419379,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STPS","NP","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"22",22,"+Fe+P Ambient-2, Temp3","No Comment","10.1594/PANGAEA.957342",11.75,1723.97,199.88,28,1935.6,7.98269398773105,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"23",23,"+Fe+P Ambient-3, Temp2","No Comment","10.1594/PANGAEA.957342",12,1726.9,196.3,23.3,1935.2,8.04880330731666,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STPS","NP","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"24",24,"+Fe+P Ambient-3, Temp3","No Comment","10.1594/PANGAEA.957342",12,1726.9,196.3,28,1935.2,7.97410746115088,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"25",25,"+P Acidified-1, Temp2","No Comment","10.1594/PANGAEA.957342",21.73,1928.79,135.29,24,2085.81,7.82790635172086,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","SP_STPS","SP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"26",26,"+P Acidified-1, Temp3","No Comment","10.1594/PANGAEA.957342",21.73,1928.79,135.29,28,2085.81,7.7644351021018,NA,NA,NA,NA,NA,NA,TRUE,"ssp585","NP_STPS","NP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"27",27,"+P Acidified-2, Temp2","No Comment","10.1594/PANGAEA.957342",21.25,1919.56,136.99,24,2077.8,7.83541277486715,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STSS","NP","STSS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"28",28,"+P Acidified-2, Temp3","No Comment","10.1594/PANGAEA.957342",21.25,1919.56,136.99,28,2077.8,7.77194152524809,NA,NA,NA,NA,NA,NA,TRUE,"ssp585","Pac_EQU_W","Pac","EQU","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"29",29,"+P Acidified-3, Temp2","No Comment","10.1594/PANGAEA.957342",21.73,1931.25,135.62,24.1,2088.6,7.82681020937119,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","SP_STPS","SP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"30",30,"+P Acidified-3, Temp3","No Comment","10.1594/PANGAEA.957342",21.73,1931.25,135.62,28,2088.6,7.76493959432695,NA,NA,NA,NA,NA,NA,TRUE,"ssp585","NP_STPS","NP","STPS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"31",31,"+P Ambient-1, Temp2","No Comment","10.1594/PANGAEA.957342",11.5,1728.02,205.08,23.1,1944.6,8.07073826536609,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STPS","NP","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"32",32,"+P Ambient-1, Temp3","No Comment","10.1594/PANGAEA.957342",11.5,1728.02,205.08,28,1944.6,7.99282889515294,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"33",33,"+P Ambient-2, Temp2","No Comment","10.1594/PANGAEA.957342",11.79,1731.05,200.86,23.1,1943.7,8.06094756731789,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STPS","NP","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"34",34,"+P Ambient-2, Temp3","No Comment","10.1594/PANGAEA.957342",11.79,1731.05,200.86,28,1943.7,7.98303819710474,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"35",35,"+P Ambient-3, Temp2","No Comment","10.1594/PANGAEA.957342",11.28,1716.13,206.29,23.1,1933.7,8.07629171376859,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STPS","NP","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"36",36,"+P Ambient-3, Temp3","No Comment","10.1594/PANGAEA.957342",11.28,1716.13,206.29,28,1933.7,7.99838234355544,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","Pac_EQU_E","Pac","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"37",37,"0.6-1400","No Comment","10.1594/PANGAEA.944854",81.0574074074074,2388.3462962963,37.782962962963,2,2507.18666666667,7.55188281201599,0,0.00525693138963618,0.00465321626967983,0.00926039879026627,0.00960768922829649,5.18367172347969e-05,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","high","high",NA,"low",NA,FALSE,TRUE,FALSE,"high","Higher Inorganic Carbon"
"38",38,"0.6-400","No Comment","10.1594/PANGAEA.944854",24.3346875,2216.7640625,108.410625,2,2349.509375,8.04203647399185,0,0.00502967385101926,0.010059347702035,0.0150890215531561,0.0100593477022565,4.32542652126807e-05,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Misaligned"
"39",39,"0.6-900","No Comment","10.1594/PANGAEA.944854",53.3714035087719,2325.60210526316,54.4082456140351,2,2433.38175438596,7.72181339506717,0,0.014446773798429,0.0145311005159806,0.0148488626433397,0.0145311005156364,0.000118747914251662,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant",NA,"high",NA,NA,NA,FALSE,TRUE,FALSE,"high","Higher Inorganic Carbon"
"40",40,"0.66","No Comment","10.1594/PANGAEA.834251",0.66,727.7,606.64,25,1335,8.88693016017267,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"41",41,"0.66","No Comment","10.1594/PANGAEA.835214",0.66,727.92,606.51,25,1335.09,8.88670580590438,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"42",42,"0.68","No Comment","10.1594/PANGAEA.835214",0.68,806.09,614.03,15,1420.8,9.01080692563901,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"43",43,"0.73","No Comment","10.1594/PANGAEA.835214",0.73,804.25,615.81,20,1420.79,8.93060242192026,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"44",44,"0.74","No Comment","10.1594/PANGAEA.834251",0.74,804.43,615.84,20,1421.01,8.93052638962752,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"45",45,"0.8","No Comment","10.1594/PANGAEA.861380",0.8,926.4,688.3,15,1615.5,8.99998009210535,0,0,0,0,0,0,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"46",46,"0.8","No Comment","10.1594/PANGAEA.920269",0.8,926.4,688.3,15,1615.5,8.99998009210535,0,0,0,0,0,0,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"47",47,"0.82","No Comment","10.1594/PANGAEA.835214",0.82,866.25,588.92,15,1455.99,8.96141392472996,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"48",48,"1","No Comment","10.1594/PANGAEA.727288",5.79,1591.33714285714,444.972857142857,20,2042.1,8.43469913729174,0,4.30572874203659,262.257150631099,239.025249622593,28.2515675081343,0.321343216083705,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low",NA,"high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"49",49,"1","No Comment","10.1594/PANGAEA.837755",44.098125,2088.91703125,103.3359375,20.4879649890591,2236.35109375,7.66676501048614,5.50119072595444,24.9760944673356,63.1848676307851,170.142470502883,130.75304572151,0.295126212728716,TRUE,"ssp585","SO_STSS","SO","STSS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"50",50,"1","No Comment","10.1594/PANGAEA.959616",12.7,1901.14,199.16,20,2113,8.06673477256268,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NA_STSS",NA,"STSS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"51",51,"1, Temp2","No Comment","10.1594/PANGAEA.837755",44.098125,2088.91703125,103.3359375,20.9230769230769,2236.35109375,7.65558049632544,5.52637904822094,24.9760944673356,63.1848676307851,170.142470502883,130.75304572151,0.281528673429428,TRUE,"ssp585","SO_STSS","SO","STSS","2090s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"52",52,"1.01","No Comment","10.1594/PANGAEA.924611",1.01,891.26,549.8,20,1442.07,8.83674707426498,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"53",53,"1.04","No Comment","10.1594/PANGAEA.924611",1.04,912.58,561.19,20,1474.81,8.8353857314789,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"54",54,"1.2-1400","No Comment","10.1594/PANGAEA.944854",81.06,2388.35,37.7833333333333,2,2507.19333333333,7.55188639551339,0,0.00830454798537235,0.00479463301485289,0.00830454798536644,0.00958926602969896,5.3806235755254e-05,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","high","high",NA,"low",NA,FALSE,TRUE,FALSE,"high","Higher Inorganic Carbon"
"55",55,"1.2-400","No Comment","10.1594/PANGAEA.944854",24.3355357142857,2216.76660714286,108.408928571429,2,2349.51107142857,8.04202917950581,0,0.00501620749793562,0.0100324149958677,0.0150486224939049,0.0100324149960887,4.31384570658743e-05,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Misaligned"
"56",56,"1.2-900","No Comment","10.1594/PANGAEA.944854",53.373,2325.608,54.4045,2,2433.3855,7.72178239759256,0,0.0131870506590656,0.0133308613527708,0.0148209654525413,0.0133308613524549,0.00010906657300748,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant",NA,"high",NA,NA,NA,FALSE,TRUE,FALSE,"high","Higher Inorganic Carbon"
"57",57,"1.42","No Comment","10.1594/PANGAEA.887739",1.42,1068.13,554.22,20,1623.77,8.76160483543,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"58",58,"1.44","No Comment","10.1594/PANGAEA.887739",1.44,1070.815,551.115,20,1623.37,8.75807114928579,0,0,4.12243253431752,5.32451406233468,9.4469465966522,0.001089133614708,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"59",59,"1.46","No Comment","10.1594/PANGAEA.887739",1.46,1075.19,545.9,20,1622.55,8.75217463227166,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"60",60,"1.5","No Comment","10.1594/PANGAEA.834251",1.5,1036.42,545.08,25,1583,8.68687595430213,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"61",61,"1.5","No Comment","10.1594/PANGAEA.835214",1.5,1036.36,545.24,25,1583.1,8.68702855890563,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"62",62,"1.64","No Comment","10.1594/PANGAEA.924611",1.64,1080.38,499.03,20,1581.05,8.71109687325853,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"63",63,"1.68","No Comment","10.1594/PANGAEA.924611",1.68,1102.75,507.09,20,1611.52,8.70915473419556,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"64",64,"1.7","No Comment","10.1594/PANGAEA.861380",1.7,1216.6,570.4,15,1788.7,8.80003257365188,0,0,0,0,0,0,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"65",65,"1.7","No Comment","10.1594/PANGAEA.920269",1.7,1216.6,570.4,15,1788.7,8.80003257365188,0,0,0,0,0,0,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"66",66,"1.71","No Comment","10.1594/PANGAEA.835214",1.71,1128.03,482.26,15,1612,8.75996146086665,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"67",67,"1.74","No Comment","10.1594/PANGAEA.924611",1.74,1104.05,489.36,20,1595.15,8.69318647986729,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"68",68,"1.75","No Comment","10.1594/PANGAEA.834251",1.75,1097.01,482.24,20,1581,8.68959939860862,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"69",69,"1.75","No Comment","10.1594/PANGAEA.835214",1.75,1096.81,482.14,20,1580.7,8.68958851659367,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"70",70,"1.97","No Comment","10.1594/PANGAEA.849402",1.97,1131.86,454.2,20,1588.03,8.65000117214427,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant","low","low","high","high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"71",72,"10.05","No Comment","10.1594/PANGAEA.869122",10.05,2015.83,204.75,-1.8,2230.63,8.41986067628271,NA,NA,NA,NA,NA,NA,FALSE,"Non-relevant","Non-relevant","Non-relevant","Non-relevant","Non-relevant",NA,NA,NA,"high",NA,FALSE,FALSE,TRUE,"low","Lower Inorganic Carbon"
"72",73,"10.09","No Comment","10.1594/PANGAEA.892370",10.09,1791.25,176.41,6,1977.75,8.27573439035961,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NA_SPSS",NA,"SPSS","1850s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"73",74,"10.09, Temp2","No Comment","10.1594/PANGAEA.892370",10.09,1791.25,176.41,6.3,1977.75,8.2705154620653,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NA_SPSS",NA,"SPSS","1850s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"74",75,"10.21","No Comment","10.1594/PANGAEA.835431",10.21,1801.48,249.31,28,2061,8.05956460481062,0,0,0,0,0,0,TRUE,"ssp245","NA_STPS",NA,"STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"75",76,"10.23","No Comment","10.1594/PANGAEA.849402",10.23,1772.57,214.81,20,1997.61,8.1299978547882,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NA_STSS",NA,"STSS","1850s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"76",78,"10.24","No Comment","10.1594/PANGAEA.849402",10.24,1703.28,192.48,20,1906,8.09964631751476,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STSS","NP","STSS","1850s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"77",80,"10.25","No Comment","10.1594/PANGAEA.835431",10.25,1767.68,239.07,28,2017,8.04957578437329,0,0,0,0,0,0,TRUE,"ssp245","Atl_EQU","Atl","EQU","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"78",81,"10.25","No Comment","10.1594/PANGAEA.949913",10.25,1763.25,193.5,17,1967,8.13615810974687,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NP_STSS","NP","STSS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"79",82,"10.32","No Comment","10.1594/PANGAEA.892370",10.32,1828,179.61,6,2017.93,8.27472171526597,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NA_SPSS",NA,"SPSS","1850s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"80",83,"10.32, Temp2","No Comment","10.1594/PANGAEA.892370",10.32,1828,179.61,6.3,2017.93,8.26950278697166,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NA_SPSS",NA,"SPSS","1850s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"81",84,"10.35","No Comment","10.1594/PANGAEA.836367",10.35,1769.67,214.88,20,1994.9,8.13085046112896,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","NA_STSS",NA,"STSS","1850s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"82",85,"10.36","No Comment","10.1594/PANGAEA.887739",10.36,1849.56,228.31,20,2088.23,8.1380032640493,NA,NA,NA,NA,NA,NA,TRUE,"ssp245","SA_STPS","SA","STPS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
"83",86,"10.39","No Comment","10.1594/PANGAEA.861255",10.39,1858.92,208.88,15,2078.19,8.17963702776072,0,0,0,0,0,0,TRUE,"ssp245","NA_STSS",NA,"STSS","2000s",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,"Biome Relevant"
